title,price,size,resolution,brand,rating
Телевизор OLED LG 55BXRLB,699990,55,4К UHD (3840x2160),LG,0
Телевизор LED LG 49NANO866NA (4K),394990,49,4К UHD (3840x2160),LG,0
Телевизор LED LG 50NANO796NF (4K),279990,50,4К UHD (3840x2160),LG,0
Телевизор OLED LG 65GXRLA,1999990,65,4К UHD (3840x2160),LG,0
Телевизор LED LG 55NANO916NA (4K),649990,55,4К UHD (3840x2160),LG,0
Телевизор LED LG 43 UN81006LB (4K),239990,43,4К UHD (3840x2160),LG,5
Телевизор OLED LG 65CXRLA,1699990,65,4К UHD (3840x2160),LG,0
Телевизор LED LG 55NANO796NF (4K),329990,55,4К UHD (3840x2160),LG,0
Телевизор LG LED 43LM5772PLA FHD SMART,189990,43,Full HD (1920x1080),LG,0
Телевизор LED XIAOMI Mi TV 4A 32 (Android),109990,32,HD (1366х768),XIAOMI,0
Телевизор LED KIVI 32 H 510KD,124890,32,HD (1366х768),KIVI,5
Телевизор LED LG 75NANO906NA (4K),1199990,75,4К UHD (3840x2160),LG,0
Телевизор BLAUPUNKT LED 32WE265T HD SMART,96990,32,HD (1366х768),BLAUPUNKT,4.8
Телевизор LED XIAOMI Mi TV 4S 43 (Android),179990,43,4К UHD (3840x2160),XIAOMI,4.555555555555555
Телевизор LG LED 32LM577BPLA HD SMART,144990,32,HD (1366х768),LG,0
Телевизор DENN LED 50DE87SU (Android),164990,50,4К UHD (3840x2160),DENN,5
Телевизор LED KIVI 24 H 600KD (Smart),99890,24,HD (1366х768),KIVI,5
Телевизор QLED SAMSUNG QE 55 Q60TAUXCE,449990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE55AU7100UXCE UHD SMART,369990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE50TU7090UXCE UHD SMART,279990,50,4К UHD (3840x2160),SAMSUNG,0
Телевизор BLAUPUNKT LED 43FE265T FHD SMART,139990,43,Full HD (1920x1080),BLAUPUNKT,5
Телевизор LED LG 50 UN74006LA (4K),269990,50,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG LED UE50AU7100UXCE UHD SMART,299990,50,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE65AU7100UXCE UHD SMART,474990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED KIVI 32 H 710KB (Smart),144890,32,HD (1366х768),KIVI,5
Телевизор LED SAMSUNG UE 32 T 4500,144990,32,HD (1366х768),SAMSUNG,0
Телевизор LED TCL 43P715 (4K Smart),169990,43,4К UHD (3840x2160),TCL,0
Телевизор SAMSUNG LED UE43AU7100UXCE UHD SMART,244990,43,4К UHD (3840x2160),SAMSUNG,5
Телевизор OLED LG 65BXRLB,1299990,65,4К UHD (3840x2160),LG,0
Телевизор LED SAMSUNG UE 43 T 5300 (SMART.Wi-Fi),194990,43,Full HD (1920x1080),SAMSUNG,2
Телевизор SAMSUNG QLED QE32LS03TBKXCE The Frame UHD SMART,249990,32,1920х1080 Full HD,SAMSUNG,0
Телевизор SAMSUNG QLED QE65QN800AUXCE 8K SMART,1899990,65,8K (7680 x 4320),SAMSUNG,0
"Телевизор LED SONY KD 55 XH8096 (4K,Android)",399990,55,4К UHD (3840x2160),SONY,0
Телевизор LG LED 70UP77506LA UHD SMART,539990,70,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG LED UE50AU9000UXCE UHD SMART,369990,50,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG QLED QE55QN90AAUXCE UHD SMART,959990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG OLED55C1RLA,749990,55,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG QLED QE55Q60AAUXCE UHD SMART,499990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED SAMSUNG QE 55 LS 01TAUXRU,609990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED XIAOMI Mi TV 4S 55 (Android),289990,55,4К UHD (3840x2160),XIAOMI,0
Телевизор LED SAMSUNG UE 43 TU 8000 (4K),249990,43,4К UHD (3840x2160),SAMSUNG,5
Телевизор SAMSUNG QLED QE75QN900AUXCE 8K SMART,3899990,75,8K (7680 x 4320),SAMSUNG,5
Телевизор LED KIVI 40 F 710KB (Smart),189890,40,Full HD (1920x1080),KIVI,5
Телевизор JVC LED LT-40MU580 FullHD,104990,40,Full HD (1920x1080),JVC,0
Телевизор LG MiniLED 65QNED916PA UHD SMART,1249990,65,4К UHD (3840x2160),LG,0
Телевизор LG LED 50UP76006LC UHD SMART,269990,50,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG LED UE65TU7090UXCE UHD SMART,454990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG QLED QE55QN85AAUXCE UHD SMART,849990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED TCL 50P715 (4K Smart),229990,50,4К UHD (3840x2160),TCL,0
Телевизор LED XIAOMI Mi TV 4S 50 (Android),229990,50,4К UHD (3840x2160),XIAOMI,5
Телевизор QLED SAMSUNG QE 55 Q70TAUXCE,499990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED SAMSUNG UE 55 TU 8500 (4K),359990,55,4К UHD (3840x2160),SAMSUNG,5
Телевизор SAMSUNG QLED QE50LS03AAUXCE The Frame UHD SMART,619990,50,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG OLED88Z19LA,15999990,88,8K (7680 x 4320),LG,0
Телевизор LG OLED55B1RLA,699990,55,4К UHD (3840x2160),LG,0
Телевизор LED SAMSUNG UE 65 TU 8570 (4K),519990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED SAMSUNG UE 50 TU 8000 (4K),279990,50,4К UHD (3840x2160),SAMSUNG,5
Телевизор QLED SAMSUNG QE 65 Q60TAUXCE,579990,65,4К UHD (3840x2160),SAMSUNG,5
Телевизор LG NanoCell 55NANO766PA UHD SMART,399990,55,4К UHD (3840x2160),LG,0
