title,price,type,volume,system,brand,rating
Холодильник SAMSUNG RB 37 A5491EL,299990,двухкамерный,387 л,No Frost,SAMSUNG,0
Холодильник SAMSUNG RB 37 A5491SA,294990,двухкамерный,387 л,No Frost,SAMSUNG,5
Холодильник LG GA-B 459 CEWL,259990,двухкамерный,341 л,No Frost,LG,0
Холодильник LG GC-B 569 PMCZ,439990,двухкамерный,451 л,No Frost,LG,0
Холодильник SAMSUNG RB 33 A3440EL,249990,двухкамерный,350 л,No Frost,SAMSUNG,0
Холодильник LG GC B 247 JLDV,639990,Side-by-Side,613 л,No Frost,LG,5
Холодильник LG GA-B 509 SMUM,349990,двухкамерный,384 л,No Frost,LG,0
Холодильник LG GA-B 379 SLUL,219990,двухкамерный,261 л,No Frost,LG,5
Холодильник SAMSUNG RB 38 T7762EL,399990,двухкамерный,385 л,No Frost,SAMSUNG,0
Холодильник SAMSUNG RS 63 R5571SL,699990,Side-by-Side,634 л,No Frost,SAMSUNG,0
Холодильник LG GA-B 379 SQUL,209990,двухкамерный,261 л,No Frost,LG,0
Холодильник LG GA-B 509 CESL,289990,двухкамерный,384 л,No Frost,LG,0
Холодильник LG GA-B 509 CLSL,294990,двухкамерный,384 л,No Frost,LG,0
Холодильник LG GA-B 459 SEQM,284990,двухкамерный,341 л,No Frost,LG,0
Холодильник SAMSUNG RT 38K5535S8,329990,двухкамерный,384 л,No Frost,SAMSUNG,0
Холодильник HISENSE RL120D4AW1,64990,однокамерный,91 л,А+,HISENSE,0
Холодильник LG GA-B 509 MMQM,309990,двухкамерный,384 л,No Frost,LG,0
Холодильник БИРЮСА 380NF,156990,двухкамерный,305 л,No Frost,БИРЮСА,0
Холодильник LG GA-B 459 CLWL,264990,двухкамерный,341 л,No Frost,LG,0
Холодильник LG GC-Q 22 FTBKL,934990,Door-in-Door,458 л,No Frost,LG,0
Холодильник SAMSUNG RB 33 A3440SA,244990,двухкамерный,350 л,А+,SAMSUNG,0
Холодильник LG GC B 247 SMDC,724990,Side-by-Side,626 л,No Frost,LG,0
Холодильник LG GR H 802 HEHZ,629990,двухкамерный,592 л,No Frost,LG,0
Холодильник БИРЮСА 8 (8Е1),74990,однокамерный,150 л,Статическая,БИРЮСА,0
Холодильник LG GA-B 419 SEUL,239990,двухкамерный,302 л,No Frost,LG,0
Холодильник LG GA-B 419 SLUL,244990,двухкамерный,302 л,No Frost,LG,0
Холодильник MIDEA MDRD 142SLF34,74990,однокамерный,93 л,Статическая,MIDEA,0
Холодильник SAMSUNG BESPOKE RB38A7B62AP,469990,Bespoke,400 л,No Frost,SAMSUNG,0
Холодильник ATLANT МХМ 2835-90,109990,двухкамерный,280 л,Статическая,ATLANT,0
Холодильник LG GA-B 509 MEQM,304990,двухкамерный,384 л,No Frost,LG,0
Холодильник LG GN H 702 HMHZ,469990,двухкамерный,506 л,No Frost,LG,0
Холодильник SAMSUNG RB 33 A32N0SA,234990,двухкамерный,350 л,No Frost,SAMSUNG,5
Холодильник MIDEA HQ-593WEN(BG),329990,Side-by-Side,456 л,No Frost,MIDEA,1
Холодильник LG GA-B 509 SEUM,349990,двухкамерный,419 л,No Frost,LG,0
Холодильник LG GA-B 509 CQSL,284990,двухкамерный,384 л,No Frost,LG,0
Холодильник INDESIT DS 316 W,156990,двухкамерный,269 л,Статическая,INDESIT,0
Холодильник ATLANT ХМ 6023-031,158990,двухкамерный,359 л,Статическая,ATLANT,0
Холодильник LG GC-B 247 JEDV,629990,Side-by-Side,613 л,No Frost,LG,0
Холодильник LG GC B 247 SVDC,669990,Side-by-Side,626 л,No Frost,LG,0
Холодильник LG GC Q 247 CADC,909990,Door-in-Door,626 л,No Frost,LG,0
Холодильник БИРЮСА 10 (10Е1),89990,однокамерный,235 л,Статическая,БИРЮСА,0
Холодильник LG GC B 247 SEDC,679990,Side-by-Side,626 л,No Frost,LG,0
Холодильник БИРЮСА 360NF,149900,двухкамерный,280 л,No Frost,БИРЮСА,5
Холодильник BEKO RCSK 250M00W,174990,двухкамерный,240 л,Статическая,BEKO,4.590909090909091
Холодильник HISENSE RB222D4AW1,119990,двухкамерный,165 л,А+,HISENSE,0
Холодильник SAMSUNG RB 41 R7847DX,529990,двухкамерный,433 л,No Frost,SAMSUNG,0
Холодильник LG GN H 702 HEHZ,459990,двухкамерный,506 л,No Frost,LG,0
Холодильник DAUSCHER DRF-090 DFW,69990,однокамерный,95 л,Статическая,DAUSCHER,0
Холодильник SAMSUNG RB 37 A5200WW,269990,двухкамерный,367 л,No Frost,SAMSUNG,5
Холодильник BOSCH KGN 39VL24R,319990,двухкамерный,388 л,А+,BOSCH,0
Холодильник LG GA-B 459 CQWL,259990,двухкамерный,341 л,No Frost,LG,0
Холодильник BOSCH KGN 86AI30U,677990,двухкамерный,682 л,No Frost,BOSCH,0
Холодильник ATLANT ХМ 4012-022,137990,двухкамерный,320 л,Статическая,ATLANT,0
Холодильник HISENSE RQ515N4AD1,339990,Side-by-Side,467 л,No Frost,HISENSE,0
Холодильник LG GC-B 569 PECZ,429990,двухкамерный,451 л,No Frost,LG,0
Холодильник LG GC M 247 CADC,789990,Side-by-Side,626 л,No Frost,LG,0
Холодильник БИРЮСА 633,129990,двухкамерный,310 л,Статическая,БИРЮСА,0
Холодильник БИРЮСА 6 (6Е1),97990,однокамерный,280 л,Статическая,БИРЮСА,1
