ID,Name,Price,Mark,Model,Diagonal,Processor,The amount of RAM,Videocard,The amount of internal memory
s1,Apple MacBook Pro Intel Core i5 2.3GHz,661565.72,Apple,MacBook Pro,"13.3""",Intel Core i5 2.3GHz,8GB,Intel Iris Plus Graphics 640,128GB SSD
s2,Apple Macbook Air Intel Core i5 1.8GHz,443914.55,Apple,Macbook Air,"13.3""",Intel Core i5 1.8GHz,8GB,Intel HD Graphics 6000,128GB Flash Storage
s3,HP 250 G6 Intel Core i5 7200U 2.5GHz,283946.50,HP,250 G6,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
s4,Apple MacBook Pro Intel Core i7 2.7GHz,1253043.56,Apple,MacBook Pro,"15.4""",Intel Core i7 2.7GHz,16GB,AMD Radeon Pro 455,512GB SSD
s5,Apple MacBook Pro Intel Core i5 3.1GHz,890653.75,Apple,MacBook Pro,"13.3""",Intel Core i5 3.1GHz,8GB,Intel Iris Plus Graphics 650,256GB SSD
s6,Acer Aspire 3 AMD A9-Series 9420 3GHz,197528.00,Acer,Aspire 3,"15.6""",AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,500GB HDD
s7,Apple MacBook Pro Intel Core i7 2.2GHz,1056759.99,Apple,MacBook Pro,"15.4""",Intel Core i7 2.2GHz,16GB,Intel Iris Pro Graphics,256GB Flash Storage
s8,Apple Macbook Air Intel Core i5 1.8GHz,572189.23,Apple,Macbook Air,"13.3""",Intel Core i5 1.8GHz,8GB,Intel HD Graphics 6000,256GB Flash Storage
s9,Asus ZenBook UX430UN Intel Core i7 8550U 1.8GHz,738260.90,Asus,ZenBook UX430UN,"14.0""",Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce MX150,512GB SSD
s10,Acer Swift 3 Intel Core i5 8250U 1.6GHz,380241.40,Acer,Swift 3,"14.0""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
s11,HP 250 G6 Intel Core i5 7200U 2.5GHz,194515.70,HP,250 G6,"15.6""",Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,500GB HDD
s12,HP 250 G6 Intel Core i3 6006U 2GHz,170362.96,HP,250 G6,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,500GB HDD
s13,Apple MacBook Pro Intel Core i7 2.8GHz,1204905.99,Apple,MacBook Pro,"15.4""",Intel Core i7 2.8GHz,16GB,AMD Radeon Pro 555,256GB SSD
s14,Dell Inspiron 3567 Intel Core i3 6006U 2GHz,246366.80,Dell,Inspiron 3567,"15.6""",Intel Core i3 6006U 2GHz,4GB,AMD Radeon R5 M430,256GB SSD
s15,"Apple MacBook 12"" Intel Core M m3 1.2GHz",623398.37,Apple,"MacBook 12""","12.0""",Intel Core M m3 1.2GHz,8GB,Intel HD Graphics 615,256GB SSD
s16,Apple MacBook Pro Intel Core i5 2.3GHz,749890.36,Apple,MacBook Pro,"13.3""",Intel Core i5 2.3GHz,8GB,Intel Iris Plus Graphics 640,256GB SSD
