title,price,wi-fi,weight,4G,brand,rating
Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS),209890,Super AMOLED,5.2,нет,4 series,0
Смарт часы XIAOMI Imilab KW66 Black,29990,5.2,"есть, IP68",XIAOMI,XIAOMI,0
Смарт часы GARMIN MARQ COMMANDER (010-02006-10),1119990,"1,2 дюйм (3,0 см)",есть,нет,Marq,0
Смарт часы HUAWEI WATCH GT 2 Pro (Night Black) (VID-B19),139890,нет,да,AMOLED,HUAWEI,0
Смарт часы SAMSUNG Galaxy Watch Active2 Aluminium 40mm Gold (R830-NZDASKZ),129890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",Active2,0
Смарт часы XIAOMI Amazfit GTS Black,59490,XIAOMI,220 мАч,5.2,Amazfit GTS,0
Смарт часы SAMSUNG Galaxy Watch Active2 Aluminium 44mm Black (R820-NZKASKZ),149890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",Active2,5
Смарт часы XIAOMI Watch Lite RU (Ivory),34890,"есть, Glonass/ A-GPS",XIAOMI,да,XIAOMI,0
Смарт часы XIAOMI Amazfit GTR2 Sport edition,82990,5.2,нет,XIAOMI,Amazfit GTR,3
Смарт часы SAMSUNG Galaxy Watch Active2 Aluminium 40mm Black (R830-NZKASKZ),129890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",Active2,0
Смарт часы XIAOMI Watch Lite RU (Navy Blue) ,25890,"есть, Glonass/ A-GPS",XIAOMI,да,XIAOMI,0
Смарт часы SAMSUNG Galaxy Watch3 Stainless 41mm Silver (SM-R850NZSACIS),199890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",3 series,5
Смарт часы XIAOMI Amazfit GTS2 Mini Pink,47990,220 мАч,5.2,нет,Amazfit GTS,0
Смарт часы XIAOMI Amazfit GTS2 Mini Black,47990,220 мАч,5.2,нет,Amazfit GTS,0
Смарт часы HUAWEI WATCH GT 2 (Matte Black) (LTN-B19),99890,нет,есть,"есть, Glonass/ Galileo",HUAWEI,0
Смарт часы SAMSUNG Galaxy Watch4 Classic 42mm Black (SM-R880NZKACIS),194890,Super AMOLED,5.2,нет,4 series,0
Смарт часы HUAWEI WATCH Fit графитовый черный (TIA-B09),59890,5.2,AMOLED,есть,HUAWEI,0
Смарт часы SAMSUNG Galaxy Watch3 Stainless 45mm Black (SM-R840NZKACIS),209890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",3 series,5
Смарт часы HUAWEI WATCH GT 2 (Pebble Brown) (LTN-B19),109890,нет,0.41,нет,HUAWEI,0
Смарт часы CANYON CNS-SW81SW Silver,26990,CANYON,серебристый,200 мАч,CANYON,0
Смарт часы SAMSUNG Galaxy Watch4 40mm Black (SM-R860NZKACIS),139890,Super AMOLED,5.2,нет,4 series,0
Смарт часы XIAOMI Imilab W11 Gold,29990,5.2,"есть, IP68",XIAOMI,XIAOMI,0
Смарт часы XIAOMI Amazfit GTR 2E Black,69990,5.2,нет,нет,Amazfit GTR,0
Смарт часы HUAWEI WATCH GT 2 Pro (Nebula Gray) (VID-B19),149890,HUAWEI,нет,да,HUAWEI,0
Смарт часы SAMSUNG Galaxy Watch Active2 Stainless 40mm Silver (R830-NSSASKZ),159890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",Active2,0
Смарт часы SAMSUNG Galaxy Watch4 40mm Rose Gold (SM-R860NZDACIS),139890,Super AMOLED,5.2,нет,4 series,0
Смарт часы SAMSUNG Galaxy Watch4 44mm Green (SM-R870NZGACIS),154890,Super AMOLED,5.2,нет,4 series,0
Смарт часы HUAWEI WATCH Fit Elegant Edition черный (TIA-B29),64890,5.2,нет,"есть, Glonass/ A-GPS",HUAWEI,0
Смарт часы OPPO watch 41mm OW19W6 (SILVER MIST),119990,"есть, 802.11b/g/n, 2,4 ГГц","есть, Glonass/ A-GPS",до 24 часов,OPPO,0
Смарт часы XIAOMI Amazfit GTS2 Midnight black,81990,5.2,нет,XIAOMI,Amazfit GTS,0
Смарт часы XIAOMI Amazfit TREX Army Green,61790,5.2,нет,XIAOMI,XIAOMI,0
Смарт часы XIAOMI Amazfit GTR 3 Moonlight Grey,79890,нет,нет,XIAOMI,Amazfit GTR,0
Смарт часы CANYON CNS-SW74BL Blue,17890,металл,Android,да,CANYON,0
Смарт часы CANYON CNS-SW74BB Black,17890,металл,Android,да,CANYON,0
Смарт часы SAMSUNG Galaxy Watch4 40mm Silver (SM-R860NZSACIS),139890,Super AMOLED,5.2,нет,4 series,0
Смарт часы SAMSUNG Galaxy Watch4 44mm Black (SM-R870NZKACIS),154890,Super AMOLED,5.2,нет,4 series,0
Смарт часы REALME Watch 2 Pro Grey  (RMA2006),39890,5.2,"есть, IP68",IPS,REALME,0
Смарт часы HUAWEI WATCH Fit Elegant Edition белый (TIA-B29),64890,5.2,нет,"есть, Glonass/ A-GPS",HUAWEI,0
Смарт часы CANYON CNS-SW70SS silver,19890,нет,"есть, IP68",IPS,CANYON,0
Смарт часы XIAOMI Amazfit GTR 2E Green,69990,5.2,нет,нет,Amazfit GTR,0
Смарт часы XIAOMI Imilab KW66 Green,29990,5.2,"есть, IP68",XIAOMI,XIAOMI,0
Смарт часы HUAWEI WATCH Fit зеленый (TIA-B09),59890,5.2,нет,нет,HUAWEI,0
Смарт часы SAMSUNG Galaxy Watch Active2 Stainless 40mm Gold (R830-NSDASKZ),159890,5.2,"есть, Glonass/ Galileo и BeiDou","есть, 802.11b/g/n, 2,4 ГГц",Active2,5
Смарт часы SAMSUNG Galaxy Watch Active2 Stainless 44mm Black (R820-NSKASKZ),174890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",Active2,0
Смарт часы CANYON CNS-SW70BB black,19890,нет,"есть, IP68",IPS,CANYON,0
Смарт часы XIAOMI Amazfit GTS 2E Black,71990,5.2,нет,нет,Amazfit GTS,0
Смарт часы XIAOMI Amazfit GTR 42mm Pink,59890,5.2,390х390,"1,2 дюйм (3,0 см)",Amazfit GTR,0
Смарт часы HUAWEI WATCH Fit розовый (TIA-B09),59890,5.2,нет,нет,HUAWEI,0
Смарт часы SAMSUNG Galaxy Watch3 Titanium 45mm Black (SM-R840NTKACIS),299890,черный,SAMSUNG,титан и стекло Gorilla Glass DX,3 series,5
Смарт часы SAMSUNG Galaxy Watch3 Stainless 45mm Silver (SM-R840NZSACIS),209890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",3 series,0
Смарт часы SAMSUNG Galaxy Watch3 Stainless 41mm Bronze (SM-R850NZDACIS),199890,Super AMOLED,бронзовый,5.2,3 series,0
Смарт часы CANYON CNS-SW73BB Black,24990,CANYON,нет,черный,CANYON,0
Смарт часы CANYON CNS-SW51BB Black,11990,до 12  месяцев в режиме простых часов,нет,есть,CANYON,0
Смарт часы XIAOMI Amazfit Verge Grey,56890,"1,3 дюйм (3,3 см)",есть,есть,XIAOMI,0
Смарт часы CANYON CNS-SW75PP,24890,нет,"есть, IP68",IPS,CANYON,0
Смарт часы XIAOMI Amazfit GTS 2E Green,71990,5.2,нет,нет,Amazfit GTS,0
Смарт часы OPPO  watch 46mm OW19W8 (black),159990,AMOLED,есть,есть,OPPO,0
Смарт часы XIAOMI Amazfit GTS Gold,59890,220 мАч,5.2,нет,Amazfit GTS,0
Смарт часы SAMSUNG Galaxy Watch Active2 Stainless 40mm Black (R830-NSKASKZ),159890,5.2,"есть, Glonass/ Galileo и BeiDou","есть, 802.11b/g/n, 2,4 ГГц",Active2,0
Смарт часы SAMSUNG Galaxy Watch Active2 Aluminium 44mm Rose Gold (R820-NZDASKZ),149890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",Active2,0
Смарт часы SAMSUNG Galaxy Watch Active2 Stainless 44mm Silver (R820-NSSASKZ),174890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",Active2,0
Смарт часы GARMIN Fenix 6 Silver w/Black Band ,395990,GARMIN,есть,нет,Fenix,0
"Смарт часы GARMIN Fenix 6X Pro,Black w/Black Band",443990,есть,нет,32 Гб,Fenix,0
Смарт часы GARMIN Forerunner 735XT,179970,нет,есть,1 год,Forerunner,0
Смарт часы XIAOMI Amazfit GTR 3 PRO Brown Leather,99890,5.2,нет,XIAOMI,Amazfit GTR,0
